"package_id","title","relation","icon_url","local_file"
"ru.mail.horo.android","Гороскопы","direct","https://static.rustore.ru/imgproxy/SzKp_KtTlpzHlA1AS97TGThcEvaTqiit9CSTUNQm3aI/preset:web_app_icon_160/plain/https://static.rustore.ru/c8d657eb-3f3b-4dea-9bd4-866dcbf21af6@webp","15_ru.mail.horo.android.webp"
"com.matricasudbu.app.taro","Таро. Матрица Судьбы","adjacent","https://static.rustore.ru/imgproxy/I8T6g5YXvVaVre17yHKIgWVAP0aa-W687BSW7LHBrGM/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/6/1/67/apk/2063530012/content/ICON/8d835150-69e2-4fae-be10-28d72855fc70.png@webp","16_com.matricasudbu.app.taro.webp"
"tarot.helper.app","Таро Онлайн","adjacent","https://static.rustore.ru/imgproxy/7Z-AZ1HOOiXpLmp7KkrPMgMxehAgaiuFCfYOiKZ49yI/preset:web_app_icon_160/plain/https://static.rustore.ru/apk/2063640915/content/ICON/89b9ac73-e818-4e37-9088-aee113c452fd.png@webp","17_tarot.helper.app.webp"
"com.apptaro.app","Таро Расклад - ИИ Таролог - Карты Гадание Расклады","adjacent","https://static.rustore.ru/imgproxy/otFe0Fie3WYWdS0p6UNDqFf7QnlfpF7uVG5PE-wwveI/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/5/11/4b/apk/2063711858/content/ICON/8f1efef5-a665-4e56-abe9-27d3a7e32488.png@webp","18_com.apptaro.app.webp"
"ru.improg.taro","Таро","adjacent","https://static.rustore.ru/imgproxy/xo3MMxpBxAkiJr8HR2pDmTr2zq7l8NBq8SrUXHEME8o/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/5/6/27/apk/2063676085/content/ICON/b5b1d859-8c31-46af-a9f0-205a192544ef.jpg@webp","19_ru.improg.taro.webp"
"com.jiy.tarot.android","Гадание Таро и гороскопы","adjacent","https://static.rustore.ru/imgproxy/LhFjkohqgktEH-96Hrh7BnNe8DTZPhkg36k-VhqqhLU/preset:web_app_icon_160/plain/https://static.rustore.ru/apk/2063585994/content/ICON/b673a8f6-835f-4e99-acb6-75fb32f17c1a.jpg@webp","20_com.jiy.tarot.android.webp"
"ru.ecliptica.tarot","Ecliptica Tarot —Таро расклады на каждый день","adjacent","https://static.rustore.ru/imgproxy/rf3B4LmC36oudi1wUDxyFk5tQnfbVti70RtopwntAow/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/4/9/0c/apk/2063698488/content/ICON/ee821b5e-fea6-4865-adfc-6eeba79cd93b.png@webp","21_ru.ecliptica.tarot.webp"
"dev.belikov.kentaro","Значение таро по фото – Kentaro","adjacent","https://static.rustore.ru/imgproxy/4LYRI3t_QzkDtFYVx9V2duIcZ404hHIrxLt_dntDqAc/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/3/4/8a/apk/2063678731/content/ICON/99988c99-11a7-49b6-ab26-f6d0afeea788.jpg@webp","22_dev.belikov.kentaro.webp"
"com.tigrikot.taro","Таро Гадание","adjacent","https://static.rustore.ru/imgproxy/lO9oUtUMA5jsSzKcl5s4brpCC8Nl7ug3pFfccIsfbww/preset:web_app_icon_160/plain/https://static.rustore.ru/apk/2063547920/content/ICON/4d12cf26-5a62-4626-b42d-a366f27297ec.png@webp","23_com.tigrikot.taro.webp"
"com.taroooracle.tarooracle","Таро и Оракулы - значение карт","adjacent","https://static.rustore.ru/imgproxy/bZ56bOgPjISHWhywFLBu61_c9gC4YQxT0hJicUS2x0A/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/2/1/dd/apk/2063555748/content/ICON/7ddb13d6-0f94-4497-b795-cca4e2ad65c8.png@webp","24_com.taroooracle.tarooracle.webp"
"com.koshina.lovematch","Тест любви - Совместимость","adjacent","https://static.rustore.ru/imgproxy/R6kMXuQaH2B6iihWEqxf_633AX-cTfcDM9XVnmySg3k/preset:web_app_icon_160/plain/https://static.rustore.ru/apk/2063559775/content/ICON/ad1a56ae-214c-4c5a-ae5a-f2150773ec87.png@webp","25_com.koshina.lovematch.webp"
"com.special_algorithmic_systems.engm_personal","Астрокалендарь ENIGMATA. Ежедневный гороскоп","additional","https://static.rustore.ru/imgproxy/W3KG4Gb48vc5SnM-lU057wPCEchh6McGKasKQhr4I0M/preset:web_app_icon_62/plain/https://static.rustore.ru/2026/5/25/57/apk/2063634969/content/ICON/5d335c46-4d9e-4144-9e4b-99edd1670d06.png@webp","26_com.special_algorithmic_systems.engm_personal.webp"
"com.birth.chart.natal.horoscope.astrology.tarot","Натальная карта - AstroChart","additional","https://static.rustore.ru/imgproxy/kYn6WYK2IDY4v1sIV0wlsg6DB8jeB95gsXRYp_F_KHQ/preset:web_app_icon_62/plain/https://static.rustore.ru/2025/10/6/83/apk/2063662829/content/ICON/444f59ea-7142-4bc7-83b0-95c3592a10b2.png@webp","27_com.birth.chart.natal.horoscope.astrology.tarot.webp"
"ru.astrostar.yakuba.android","AstroStar: Гороскопы, Астрология, Натальная карта","additional","https://static.rustore.ru/imgproxy/AhbqtmOGt4A-WJyKC6iNLfOuR5ZeYr3n0udIhWRL8F0/preset:web_app_icon_62/plain/https://static.rustore.ru/2025/12/22/c1/apk/2063682288/content/ICON/170d8dcb-a5d0-4372-b057-88a2a86e6066.jpg@webp","28_ru.astrostar.yakuba.android.webp"
"ru.z9games.jyotish","Ведаскоп: джйотиш и натальная карта","additional","https://static.rustore.ru/imgproxy/HsaaT5buUGX8MqIYO7-p5kJNEMagCnOcfDMS4M2M6ZM/preset:web_app_icon_62/plain/https://static.rustore.ru/2026/6/24/02/apk/2063724173/content/ICON/26228479-06f4-4875-a6f0-366cd7479072.png@webp","29_ru.z9games.jyotish.webp"
"com.semnon.astrovfr","AstroVizor","additional","https://static.rustore.ru/imgproxy/gzTwgAXHr4AkIcih1f8Z7cXgwPWOVdO27oRFsKypf_I/preset:web_app_icon_62/plain/https://static.rustore.ru/apk/2063535581/content/ICON/97ad5afa-a494-41dd-ac8d-459f96a9b39d.png@webp","30_com.semnon.astrovfr.webp"
