query,suggestion_rank,suggestion,collected_at,source,source_url
любовный гороскоп,1,Любовный гороскоп,2026-07-29T18:30:09.207Z,RuStore live autocomplete,https://www.rustore.ru/catalog
любовный гороскоп,2,Гороскоп на каждый день 2026. По дате рождения,2026-07-29T18:30:09.207Z,RuStore live autocomplete,https://www.rustore.ru/catalog
любовный гороскоп,3,Узнай любовную совместимость знаков зодиака,2026-07-29T18:30:09.207Z,RuStore live autocomplete,https://www.rustore.ru/catalog
астрологический прогноз,1,Velstar: гороскоп и карты таро,2026-07-29T18:30:09.926Z,RuStore live autocomplete,https://www.rustore.ru/catalog
астрологический прогноз,2,Астрокалендарь ENIGMATA. Ежедневный гороскоп,2026-07-29T18:30:09.926Z,RuStore live autocomplete,https://www.rustore.ru/catalog
астрологический прогноз,3,Гороскопы,2026-07-29T18:30:09.926Z,RuStore live autocomplete,https://www.rustore.ru/catalog
персональный прогноз,,,2026-07-29T18:30:10.622Z,RuStore live autocomplete,https://www.rustore.ru/catalog
знаки зодиака,,,2026-07-29T18:30:11.325Z,RuStore live autocomplete,https://www.rustore.ru/catalog
натальная карта,1,Натальная карта. Астрология. Матрица Судьбы,2026-07-29T18:30:12.056Z,RuStore live autocomplete,https://www.rustore.ru/catalog
натальная карта,2,Астрологические Карты Lite,2026-07-29T18:30:12.056Z,RuStore live autocomplete,https://www.rustore.ru/catalog
натальная карта,3,Астрокалендарь ENIGMATA. Ежедневный гороскоп,2026-07-29T18:30:12.056Z,RuStore live autocomplete,https://www.rustore.ru/catalog
натальная карта,4,натальная карта астрология матрица судьбы,2026-07-29T18:30:12.056Z,RuStore live autocomplete,https://www.rustore.ru/catalog
натальная карта,5,натальная карта,2026-07-29T18:30:12.056Z,RuStore live autocomplete,https://www.rustore.ru/catalog
натальная карта бесплатно,1,"Гороскопы бесплатно, натальная карта",2026-07-29T18:30:12.778Z,RuStore live autocomplete,https://www.rustore.ru/catalog
натальная карта бесплатно,2,Ежедневный гороскоп - Yufic,2026-07-29T18:30:12.778Z,RuStore live autocomplete,https://www.rustore.ru/catalog
натальная карта бесплатно,3,"AstroStar: Гороскопы, Астрология, Натальная карта",2026-07-29T18:30:12.778Z,RuStore live autocomplete,https://www.rustore.ru/catalog
натальная карта онлайн,,,2026-07-29T18:30:13.476Z,RuStore live autocomplete,https://www.rustore.ru/catalog
натальная карта с расшифровкой,,,2026-07-29T18:30:20.971Z,RuStore live autocomplete,https://www.rustore.ru/catalog
натальная карта по дате рождения,,,2026-07-29T18:30:21.671Z,RuStore live autocomplete,https://www.rustore.ru/catalog
расчет натальной карты,,,2026-07-29T18:30:22.367Z,RuStore live autocomplete,https://www.rustore.ru/catalog
рассчитать натальную карту,1,Натальная карта. Астрология. Матрица Судьбы,2026-07-29T18:30:23.087Z,RuStore live autocomplete,https://www.rustore.ru/catalog
рассчитать натальную карту,2,AstroVizor,2026-07-29T18:30:23.087Z,RuStore live autocomplete,https://www.rustore.ru/catalog
построить натальную карту,,,2026-07-29T18:30:23.784Z,RuStore live autocomplete,https://www.rustore.ru/catalog
расшифровка натальной карты,,,2026-07-29T18:30:24.497Z,RuStore live autocomplete,https://www.rustore.ru/catalog
полная натальная карта,,,2026-07-29T18:30:25.204Z,RuStore live autocomplete,https://www.rustore.ru/catalog
карта рождения,,,2026-07-29T18:30:25.908Z,RuStore live autocomplete,https://www.rustore.ru/catalog
астрологическая карта,,,2026-07-29T18:30:26.620Z,RuStore live autocomplete,https://www.rustore.ru/catalog
космограмма,,,2026-07-29T18:30:27.368Z,RuStore live autocomplete,https://www.rustore.ru/catalog
асцендент,,,2026-07-29T18:30:34.232Z,RuStore live autocomplete,https://www.rustore.ru/catalog
рассчитать асцендент,,,2026-07-29T18:30:34.930Z,RuStore live autocomplete,https://www.rustore.ru/catalog
луна в знаке,,,2026-07-29T18:30:35.633Z,RuStore live autocomplete,https://www.rustore.ru/catalog
дома в натальной карте,,,2026-07-29T18:30:36.330Z,RuStore live autocomplete,https://www.rustore.ru/catalog
аспекты планет,,,2026-07-29T18:30:37.026Z,RuStore live autocomplete,https://www.rustore.ru/catalog
транзиты планет,,,2026-07-29T18:30:37.723Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость,1,Love,2026-07-29T18:30:38.437Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость,2,Твое имя Тест на совместимость,2026-07-29T18:30:38.437Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость,3,"Совместимость по дате, дню, имени, зодиаку",2026-07-29T18:30:38.437Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость,4,совместимость,2026-07-29T18:30:38.437Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость,5,совместимость в любви,2026-07-29T18:30:38.437Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость знаков,1,Horoscope Love Test Prank,2026-07-29T18:30:39.154Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость знаков,2,Совместимость по знаку зодиака,2026-07-29T18:30:39.154Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость знаков,3,Гороскопы,2026-07-29T18:30:39.154Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость знаков зодиака,1,Horoscope Love Test Prank,2026-07-29T18:30:39.866Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость знаков зодиака,2,Совместимость по знаку зодиака,2026-07-29T18:30:39.866Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость знаков зодиака,3,Гороскопы,2026-07-29T18:30:39.866Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость по дате рождения,1,Совместимость. Астрология,2026-07-29T18:30:40.596Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость по дате рождения,2,Нумерология Совместимость,2026-07-29T18:30:40.596Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость по дате рождения,3,Любовная совместимость,2026-07-29T18:30:40.596Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость пары,1,Совместимость по знаку зодиака,2026-07-29T18:30:49.580Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость пары,2,Тест на любовь - Cовместимость,2026-07-29T18:30:49.580Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость пары,3,Matché — тест совместимости,2026-07-29T18:30:49.580Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость мужчины и женщины,,,2026-07-29T18:30:50.280Z,RuStore live autocomplete,https://www.rustore.ru/catalog
любовная совместимость,1,Любовная совместимость,2026-07-29T18:30:51.001Z,RuStore live autocomplete,https://www.rustore.ru/catalog
любовная совместимость,2,Love Tester: True Love Test,2026-07-29T18:30:51.001Z,RuStore live autocomplete,https://www.rustore.ru/catalog
любовная совместимость,3,Тест любви - Совместимость,2026-07-29T18:30:51.001Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость в отношениях,1,Любовная совместимость,2026-07-29T18:30:51.721Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость в отношениях,2,Love Tester: True Love Test,2026-07-29T18:30:51.721Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость в отношениях,3,Тест любви - Совместимость,2026-07-29T18:30:51.721Z,RuStore live autocomplete,https://www.rustore.ru/catalog
натальная совместимость,1,Любовная совместимость,2026-07-29T18:30:52.436Z,RuStore live autocomplete,https://www.rustore.ru/catalog
натальная совместимость,2,Love Tester: True Love Test,2026-07-29T18:30:52.436Z,RuStore live autocomplete,https://www.rustore.ru/catalog
натальная совместимость,3,Тест любви - Совместимость,2026-07-29T18:30:52.436Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость по натальной карте,1,Любовная совместимость,2026-07-29T18:30:53.148Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость по натальной карте,2,Love Tester: True Love Test,2026-07-29T18:30:53.148Z,RuStore live autocomplete,https://www.rustore.ru/catalog
совместимость по натальной карте,3,Тест любви - Совместимость,2026-07-29T18:30:53.148Z,RuStore live autocomplete,https://www.rustore.ru/catalog
синастрия,1,AstroVizor,2026-07-29T18:30:53.867Z,RuStore live autocomplete,https://www.rustore.ru/catalog
синастрия,2,Совместимость. Астрология,2026-07-29T18:30:53.867Z,RuStore live autocomplete,https://www.rustore.ru/catalog
синастрия,3,Астрологические Карты Lite,2026-07-29T18:30:53.867Z,RuStore live autocomplete,https://www.rustore.ru/catalog
синастрия онлайн,,,2026-07-29T18:30:54.566Z,RuStore live autocomplete,https://www.rustore.ru/catalog
